"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BT101,BT102";"MyBatteryHolder_MPD_BH-18650-PC2";2;"Battery_Cell";;;
2;"U2";"PA16165_Breakout";1;"PA16165_Breakout";;;
3;"U3";"MPL3115A2_Breakout";1;"MPL3115A2_Breakout";;;
4;"U4";"BNO055_Breakout";1;"BNO055_Breakout";;;
5;"U5";"RFM69HCW_Breakout";1;"RFM69HCW_Breakout";;;
6;"U1";"Teensy35_36_All_Pins";1;"Teensy3.6_All_Pins";;;
7;"C201,C202,C301,C302";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"C_0.1uF";;;
8;"C203,C303,C101";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"C_0.1u";;;
9;"J101,J102";"TerminalBlock_bornier-2_P5.08mm";2;"Screw_Terminal_01x02";;;
10;"Q101,Q102";"TO-220-3";2;"Q_NMOS_GDS";;;
11;"R101";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"R_15k";;;
12;"R102";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"R_4.7k";;;
13;"R103,R202,R302,R109";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"R_10k";;;
14;"R201,R301";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"R_250";;;
15;"U201,U301";"TPS2113ADRBR";2;"TPS2113ADRBR";;;
16;"D101,D102,D103,D104,D105";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"LED";;;
17;"R104,R105,R106,R107,R108";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"R_750";;;
18;"G***";"Olin_O";1;"LOGO";;;
19;"G***";"Olin_Rocketry_Logo1";1;"LOGO";;;
