"Comment","Designator","Footprint","LCSC Part #","LCSC Part Type"

"Conn_02x03_Odd_Even","J3","Molex_Nano-Fit_105312-1106","",""

"LED","D2,D3,D4,D5,D6,D7","AA3528LSECKT-J4","",""

"PKB24SPCH3601-B0","LS1","PT-1340","",""

"100n","C7,C9,C10","C_0805_OEM","",""

"10u","C8","C_0805_OEM","",""

"R_4.99K","R1,R2","R_0805_OEM","",""

"MPL3115A2","U2","MPL3115A2","",""

"Teensy3.6","U3","Teensy3-6","",""

"1u","C11","C_0805_OEM","",""

"ADXL345BCCZ","U5","ADXL345","",""

"RFM9X_header","J2","RFM9X_header","",""

"Conn_01x09_Female","J1","PinSocket_1x09_P2.54mm_Vertical","",""

"R_20k","R5","R_0805_OEM","",""

"C_1uF","C14","C_0805_OEM","",""

"R_8k","R6","R_0805_OEM","",""

"R_475","R7","R_0805_OEM","",""

"TPS2113ADRBR","U7","TPS2113ADRBR","",""

"C_10uF","C1","C_0805_OEM","",""

"D_Zener","D1","SOT-23","",""

"R_20","R3","R_0805_OEM","",""

"R_750","R4,R8,R9,R10,R11,R12","R_0805_OEM","",""

